Genre,Publisher,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Action,20th Century Fox Video Games,20116,7926.0,1.61,0.09,0.0,0.01,1.7200000000000002
Action,3DO,116159,33997.0,4.31,1.6700000000000004,0.0,0.29,6.28
Action,505 Games,227127,42209.0,1.3100000000000003,1.2100000000000002,0.38000000000000006,0.31000000000000005,3.2199999999999993
Action,5pb,75134,10069.0,0.0,0.0,0.13,0.0,0.13
Action,989 Studios,3336,3997.0,1.98,0.54,0.0,0.11,2.63
Action,ASC Games,13127,1999.0,0.03,0.02,0.0,0.0,0.05
Action,Abylight,11502,2010.0,0.07,0.0,0.0,0.01,0.08
Action,Acclaim Entertainment,152982,27998.0,0.8900000000000003,0.5299999999999999,0.0,0.10999999999999999,1.5300000000000005
Action,Ackkstudios,43041,8046.0,0.0,0.0,0.51,0.0,0.51
Action,Acquire,23195,4020.0,0.08,0.0,0.060000000000000005,0.02,0.16
Action,Activision,2149106,618436.0,87.29000000000003,40.020000000000046,1.0800000000000003,13.829999999999949,142.32999999999998
Action,Activision Blizzard,4109,2014.0,0.08,0.36,0.0,0.04,0.48
Action,Activision Value,13261,2008.0,0.04,0.0,0.0,0.0,0.05
Action,Adeline Software,8253,1996.0,0.1,0.07,0.0,0.01,0.17
Action,Agatsuma Entertainment,7631,2012.0,0.16,0.0,0.03,0.01,0.2
Action,Agetec,22964,4000.0,0.04,0.03,0.15,0.01,0.22999999999999998
Action,Aksys Games,12861,2015.0,0.01,0.0,0.04,0.0,0.05
Action,Alawar Entertainment,16112,2015.0,0.0,0.01,0.0,0.0,0.01
Action,Alchemist,37402,6038.0,0.0,0.0,0.19,0.0,0.19
Action,Alternative Software,15308,2015.0,0.0,0.02,0.0,0.0,0.02
Action,American Softworks,7048,1996.0,0.13,0.09,0.0,0.02,0.23
Action,Answer Software,4018,1982.0,0.46,0.03,0.0,0.01,0.5
Action,Arc System Works,46303,6042.0,0.0,0.0,0.06,0.0,0.06
Action,Asgard,32250,4027.0,0.0,0.0,0.03,0.0,0.03
Action,Astragon,13553,2011.0,0.01,0.02,0.0,0.01,0.04
Action,Atari,373584,98061.0,18.66,6.449999999999997,0.13999999999999999,1.4500000000000004,26.64999999999999
Action,Atlus,38513,6014.0,0.13,0.03,0.0,0.0,0.17
Action,Avalon Interactive,8460,1982.0,0.15,0.01,0.0,0.0,0.17
Action,Avanquest,45883,8047.0,0.16999999999999998,0.26,0.0,0.05,0.4800000000000001
Action,Avanquest Software,61436,8052.0,0.0,0.06999999999999999,0.0,0.0,0.08
Action,BAM! Entertainment,104352,18021.0,0.6500000000000001,0.3500000000000001,0.0,0.09,1.09
Action,Banpresto,48179,8000.0,0.0,0.0,0.30000000000000004,0.0,0.30000000000000004
Action,Berkeley,14213,2001.0,0.02,0.01,0.0,0.0,0.03
Action,Bethesda Softworks,104988,34229.0,4.17,3.8899999999999997,0.3500000000000001,1.2200000000000002,9.64
Action,Big Fish Games,14277,2014.0,0.0,0.03,0.0,0.0,0.03
Action,Black Bean Games,8933,2011.0,0.08,0.06,0.0,0.01,0.15
Action,Black Label Games,1668,2002.0,0.59,0.46,0.0,0.15,1.2
Action,Blast! Entertainment Ltd,19165,4016.0,0.16999999999999998,0.06,0.0,0.03,0.27
Action,Bomb,7151,1982.0,0.21,0.01,0.0,0.0,0.22
Action,Broccoli,66746,10071.0,0.0,0.0,0.28,0.0,0.28
Action,CBS Electronics,5775,1982.0,0.29,0.02,0.0,0.0,0.31
Action,CPG Products,3718,1982.0,0.5,0.03,0.0,0.01,0.54
Action,Capcom,1189706,309180.0,35.92999999999997,20.36000000000002,22.230000000000015,6.589999999999988,85.15999999999995
Action,Cave,15512,2012.0,0.0,0.0,0.02,0.0,0.02
Action,ChunSoft,13595,2011.0,0.0,0.0,0.04,0.0,0.04
Action,City Interactive,5372,2010.0,0.15,0.16,0.0,0.03,0.34
Action,Codemasters,90157,18068.0,0.6500000000000001,0.6100000000000001,0.0,0.17,1.4300000000000002
Action,CokeM Interactive,5746,2007.0,0.29,0.0,0.0,0.02,0.31
